Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
Points,,$0.00067,1.89%,$7.34,$166.58 K,$166.83 K,0.05x,,"Dec 16, 2023"
BRC20.COM,COM,$0.2115,0.01%,$1.18 M,$4.45 M,,0.05x,$1.5 M,"Dec 15, 2023"
Finceptor,FINC,$0.03344,-3.52%,$96 K,$3.37 M,,0.56x,,"Dec 13, 2023"
Dovi,,$0.09721,-4.95%,$643.75 K,$1.45 M,$1.46 M,0.17x,,"Dec 13, 2023"
BitStable,BSSB,$0.1374,-0.28%,$1.2 M,$2.46 M,,2.58x,$223.23 K,"Dec 12, 2023"
Jito,JTO,$2.526,0.32%,$44 M,$2.54 B,$314.55 M,1.01x,$14.2 M,"Dec 6, 2023"
Inspect,INSP,$0.01385,-8.13%,$179.39 K,$13.93 M,$2.23 M,0.93x,$30 K,"Dec 5, 2023"
Abelian,,$0.0784,-4.04%,$332.02 K,$7.72 M,$6.08 M,0.06x,,"Dec 5, 2023"
5ire,5IRE,$0.01223,-6.80%,$2.5 M,$18.29 M,$599.07 K,0.2x,$242.96 M,"Dec 5, 2023"
Good Entry,,$0.000049,-0.10%,$3.48,$33 K,$22.83 K,0.01x,$160 K,"Dec 4, 2023"
Work X,WORK,$0.1193,5.64%,$36.61 K,$12.02 M,$369.97 K,0.6x,$3.05 M,"Dec 4, 2023"
Earn Network,EARN,$0.000516,-4.06%,$14.71 K,$5.22 M,$662.98 K,0.08x,$2.7 M,"Dec 1, 2023"
Holdstation,,$1.322,0.92%,$1.28 M,$39.66 M,,1.07x,$2 M,"Nov 28, 2023"
Friend3,F3,$0.01239,3.57%,$331.94 K,$12.41 M,$696.94 K,1.25x,$992.5 K,"Nov 27, 2023"
Mizar,MZR,$0.00016,-1.98%,$933.5,$1.6 M,$470.84 K,0.11x,$3 M,"Nov 22, 2023"
Chainflip,FLIP,$1.1,-2.61%,$1.27 M,$95.94 M,$18.98 M,0.6x,$23.44 M,"Nov 22, 2023"
Cradles,,$0.05502,69.21%,$1.02 M,$17.27 M,,0.73x,$6.35 M,"Nov 22, 2023"
