Project Name,Subname,Price (24h),Price Change (24h),Volume (24h),FDV,Market Cap,ROI,Total Raised,Date
AXL INU,AXL,$0.000011,-3.37%,$3.69 K,$773.88 K,,0.02x,$2.15 M,"Jan 2, 2022"
MonoX,MONO,$0.0027,-12.34%,$480.63,$50 M,,0.01x,$5.46 M,"Jan 2, 2022"
Galaxy War,GWT,$0.000184,-0.53%,$2.75,$184 K,,0.01x,$2.6 M,"Jan 2, 2022"
AgeOfGods,AOG,$0.00344,-0.14%,$259.65 K,$931.5 K,$355.95 K,0.03x,$300 K,"Dec 30, 2021"
Coinweb,CWEB,$0.00455,-4.11%,$43.28 K,$34.76 M,$10.22 M,0.35x,$9.41 M,"Dec 29, 2021"
Decimated,DIO,$0.01562,-7.92%,$171.76 K,$15.64 M,$6.8 M,0.31x,$8.5 M,"Dec 28, 2021"
Hummingbot,,$0.0033,47.20%,$204.52,$3.28 M,,0.01x,$14.1 M,"Dec 28, 2021"
ALL.ART,AART,$0.000233,1.19%,$58.09 K,$1.17 M,$583.87 K,0.01x,$6.9 M,"Dec 27, 2021"
Bit Hotel,BTH,$0.000794,-0.48%,$12.37,$793 K,,0.05x,$2.82 M,"Dec 26, 2021"
Avocado Dao,AVG,$0.01557,0.87%,$27.66 K,$15.51 M,$1.61 M,0.01x,$45.2 M,"Dec 26, 2021"
Gamma Strategies,GAMMA,$0.06557,-4.90%,$4.34 K,$6.56 M,$4.27 M,0.1x,$603 K,"Dec 26, 2021"
ApolloX,APX,$0.04895,-8.16%,$303.94 K,$195.99 M,$21.27 M,0.24x,,"Dec 26, 2021"
Trisolaris,TRI,$0.00134,3.52%,$9.15 K,$670 K,,0.01x,$4.5 M,"Dec 24, 2021"
Imperium Empires,IME,$0.00000316,1.46%,$10.77,$31.6 K,,0.01x,$3.1 M,"Dec 23, 2021"
Katana Inu,KATA,$0.000439,-2.26%,$463.76 K,$21.9 M,$11.95 M,0.59x,$7.65 M,"Dec 23, 2021"
ImpactMarket,PACT,$0.000067,49.85%,$138.28,$670 K,,0.02x,$2.1 M,"Dec 22, 2021"
Sentre,SNTR,$0.000931,-3.22%,$1.83 K,$931 K,$162.39 K,0.02x,$1.09 M,"Dec 22, 2021"
Supe Infinity,SUPE,$0.00328,1.67%,$3.74 K,$3.18 M,,0.01x,$149.97 K,"Dec 22, 2021"
RaceFi,RACEFI,$0.00157,-3.82%,$128.61,$314 K,$72.51 K,0.01x,$3.35 M,"Dec 22, 2021"
UNQ Club,UNQ,$0.000183,-12.37%,$5.67 K,$91 K,,0.01x,$3.5 M,"Dec 22, 2021"
Unique Venture clubs,UNQ,$0.000183,-12.37%,$5.67 K,$92 K,,0.01x,$3.5 M,"Dec 22, 2021"
MonkeyBall,MBS,$0.0062,7.17%,$19.39 K,$6.05 M,$3.88 M,0.01x,$3 M,"Dec 21, 2021"
MonkeyLeague,MBS,$0.0062,7.17%,$19.39 K,$6.21 M,$3.88 M,0.15x,$27.4 M,"Dec 21, 2021"
GamesPad,GMPD,$0.00223,-14.62%,$583.78 K,$1.1 M,$148.26 K,0.04x,$2.6 M,"Dec 21, 2021"
Rainmaker Games,RAIN,$0.000694,0.05%,$1.42 M,$695 K,$459.32 K,0.01x,$6.43 M,"Dec 21, 2021"
Minto,BTCMT,$0.5691,2.32%,$44.45 K,$5.95 M,,0.32x,$1.78 M,"Dec 20, 2021"
izumi Finance,iZi,$0.00879,-1.24%,$58.08 K,$17.58 M,$6.92 M,0.22x,$29.16 M,"Dec 20, 2021"
Guild of Guardians,GOG,$0.05062,4.24%,$877.75 K,$50.42 M,$31.77 M,0.67x,$6.7 M,"Dec 20, 2021"
MagicCraft,MCRT,$0.00096,-0.85%,$212.41 K,$6.91 M,$4.19 M,0.16x,$5.56 M,"Dec 20, 2021"
Wizarre Scroll,SCRL,$0.00000842,-1.22%,$10.16,$9.5 M,,0.01x,$2.04 M,"Dec 19, 2021"
Platypus,PTP,$0.000132,-1.19%,$26.36 K,$39.6 K,$5.47 K,0.01x,$4.35 M,"Dec 19, 2021"
WAM,WAM,$0.0028,-0.04%,$62.13 K,$2.8 M,$1.3 M,0.14x,$2.74 M,"Dec 19, 2021"
Label,LBL,$0.00223,0.69%,$740.19 K,$6.69 M,$4.27 M,0.74x,,"Dec 17, 2021"
Fancy Birds,FNC,$0.000687,10.01%,$208.62,$684 K,,0.14x,,"Dec 17, 2021"
Crypto Fight Club,FIGHT,$0.000198,1.38%,$19.7,$197 K,,0.01x,$3.38 M,"Dec 17, 2021"
Chumbi Valley,CHMB,$0.000188,0.57%,$93.32 K,$5.52 M,,0.19x,$3.76 M,"Dec 17, 2021"
Crafting Finance,CRF,$0.00081,0.10%,$27.01 K,$1.62 M,,0.02x,$80 K,"Dec 17, 2021"
Dreamverse,DV,$0.000743,-0.74%,$556.22,$1.56 M,,0.04x,$300 K,"Dec 16, 2021"
Pollen DeFi,PLN,$0.00434,0.40%,$336.7 K,$433.72 K,,0.01x,$8 M,"Dec 16, 2021"
Safle,SAFLE,$0.00756,-0.62%,$29.69 K,$7.53 M,,0.07x,$4.6 M,"Dec 16, 2021"
Nova Finance,NOVA,$0.00822,-0.21%,$130.16 K,$82.6 K,,0.01x,$3.2 M,"Dec 16, 2021"
Nitro League,NITRO,$0.00086,0.34%,$22.99 K,$857 K,,0.01x,$6.65 M,"Dec 16, 2021"
MetaGods,MGOD,$0.00128,-1.24%,$159.77,$645 K,,0.03x,$4.24 M,"Dec 16, 2021"
Fancy Games,FNC,$0.000687,10.01%,$208.62,$687 K,,0.01x,$10.88 M,"Dec 16, 2021"
Frontrow,FRR,$0.000017,5.73%,$715.04,$170 K,,0.01x,$150.6 K,"Dec 16, 2021"
Geopoly,GEO,$0.000359,3.47%,$131.51,$359 K,,0.02x,$3.1 M,"Dec 15, 2021"
White Whale,WHALE,$0.0039,-2.65%,$113.01 K,$3.76 M,,0.11x,$2.9 M,"Dec 15, 2021"
Lyra,LYRA,$0.000773,-0.01%,$87.56,$775 K,$449.04 K,0.01x,,"Dec 15, 2021"
Lyra Finance,LYRA,$0.000773,-0.01%,$87.56,$773 K,$449.04 K,0.01x,$7.31 M,"Dec 15, 2021"
LABEL Foundation,LBL,$0.00223,0.69%,$740.19 K,$6.69 M,$4.27 M,0.74x,$4.22 M,"Dec 15, 2021"
Domi Online,DOMI,$0.00935,5.74%,$37.39 K,$8.98 M,$3.52 M,0.07x,$3.8 M,"Dec 15, 2021"
MetaSoccer,MSU,$0.00193,-2.92%,$2.98 K,$626.96 K,$224.42 K,0.06x,$2.34 M,"Dec 15, 2021"
Star Sharks,"SSS, SEA",$0.05182,-0.86%,$46.34,$5.17 M,,0.1x,$4.8 M,"Dec 15, 2021"
Gearbox Protocol,GEAR,$0.00641,-0.74%,$162.83 K,$64.1 M,$64.1 M,0.42x,$8.04 M,"Dec 14, 2021"
Colony,CLY,$0.08235,0.78%,$13.53 K,$12.38 M,,0.13x,$11.16 M,"Dec 14, 2021"
1Sol Protocol,1SOL,$0.00895,14.80%,$191.3 K,$887 K,,0.02x,$2.5 M,"Dec 14, 2021"
SENATE,DAO,$0.03069,1.58%,$12.09 K,$5.88 M,$3.66 M,0.17x,$10.59 M,"Dec 14, 2021"
Sidus Heroes,"SIDUS, SENATE",$0.00221,-2.95%,$324.37 K,$47.19 M,$20.68 M,1.24x,$23.55 M,"Dec 14, 2021"
Soldex,SOLX,$0.000052,3.75%,$26.74 K,$26.5 K,$21.86 K,0.01x,$3 M,"Dec 14, 2021"
Hashtagger,MOOO,$0.03149,1.86%,$28.04 K,$1.88 M,$62.55 K,0.04x,$464 K,"Dec 13, 2021"
XY Finance,XY,$0.0393,29.30%,$233.01,$3.8 M,$353.56 K,0.02x,$21.88 M,"Dec 13, 2021"
Voxies Tactics,VOXEL,$0.1113,1.51%,$2.48 M,$33.63 M,$20.75 M,0.56x,$6 M,"Dec 13, 2021"
Unbound,UNB,$0.000448,-7.33%,$59.14 K,$4.48 M,$436.35 K,0.04x,$6.95 M,"Dec 13, 2021"
Humans,HEART,$0.00896,-0.19%,$256.41 K,$69.89 M,,0.6x,$10.17 M,"Dec 13, 2021"
SugarBounce,TIP,$0.00243,-3.79%,$2.69 K,$482.84 K,$34.09 K,0.01x,$375 K,"Dec 12, 2021"
DappRadar,RADAR,$0.00477,2.76%,$30.63 K,$47.7 M,$4.58 M,0.14x,$7.33 M,"Dec 12, 2021"
SolChicks,CHICKS,$0.000029,2.66%,$18.1,$300 K,$18.53 K,0.01x,$15 M,"Dec 12, 2021"
Polygen,PGEN,$0.000053,17.68%,$5.06,$53 K,,0.01x,$2.65 M,"Dec 12, 2021"
99Starz,STZ,$0.00987,2.69%,$2.1 K,$977.13 K,,0.02x,$5.76 M,"Dec 12, 2021"
League of Ancients,LOA,$0.00153,-1.76%,$2.37 K,$1.53 M,,0.01x,$6.15 M,"Dec 11, 2021"
Silo,SILO,$0.03039,6.45%,$25.88 K,$30.66 M,,0.3x,$10.8 M,"Dec 11, 2021"
Cornucopias,COPI,$0.03179,-3.32%,$130.56 K,$122.3 M,$26.98 M,8.72x,$600 K,"Dec 10, 2021"
Realy Metaverse,REAL,$0.02906,-1.23%,$122.02 K,$2.91 M,,0.03x,$1 M,"Dec 10, 2021"
MetaVPad,METAV,$0.00289,0.28%,$1.76 K,$635.8 K,,2.89x,$800 K,"Dec 10, 2021"
Arker,ARKER,$0.00034,-6.65%,$249.67 K,$680 K,,0.04x,$2.61 M,"Dec 9, 2021"
DeHorizon,DEVT,$0.000083,2.77%,$13.77,$24.6 K,,0.01x,$8.56 M,"Dec 9, 2021"
Popcorn,POP,$0.00686,-0.22%,$6.67,$684 K,$162.93 K,0.01x,$12.47 M,"Dec 9, 2021"
Agoras: Currency of Tau,AGRS,$1.471,7.76%,$128.94 K,$61.78 M,$26.48 M,0.24x,,"Dec 9, 2021"
Sipher,SIPHER,$0.1071,1.11%,$6.87 K,$107.2 M,$12.25 M,0.1x,$49.23 M,"Dec 9, 2021"
Credefi,CREDI,$0.01684,-1.64%,$289.88 K,$16.82 M,$12.61 M,1.2x,$2.21 M,"Dec 8, 2021"
Run,RUN,$0.000024,-0.25%,$6.46,$24 K,$3.53 K,0.01x,$9.6 M,"Dec 8, 2021"
Colony Lab,CLY,$0.08235,0.78%,$13.53 K,$12.38 M,,0.21x,$21 M,"Dec 8, 2021"
Blockasset,BLOCK,$0.07605,-6.05%,$499.94 K,$24.36 M,$9.87 M,0.98x,$4.54 M,"Dec 8, 2021"
Sportium,SPRT,$0.000162,-1.83%,$97.08 K,$162 K,,0.01x,$4.04 M,"Dec 8, 2021"
BlockchainSpace,GUILD,$0.00255,-0.95%,$29.39 K,$2.55 M,,0.01x,$20.47 M,"Dec 8, 2021"
Attack Wagon,ATK,$0.000217,23.95%,$9.69 K,$207 K,,0.01x,$2.28 M,"Dec 7, 2021"
Sway Social,SWAY,$0.0024,4.81%,$18.84 K,$241 K,$117.2 K,0.03x,$285 K,"Dec 7, 2021"
Propel,PEL,$0.00383,0.43%,$105.32 K,$393 K,$144.33 K,0.03x,$2.42 M,"Dec 7, 2021"
ArcadeNetwork,ARC,$0.000065,-1.83%,$21.03,$16.22 K,,0.01x,$2.69 M,"Dec 6, 2021"
Waves.Exchange,WX,$0.0121,3.08%,$833.56,$12.18 M,,0.01x,$17.51 M,"Dec 6, 2021"
Wicrypt,WNT,$0.03645,0.93%,$122.64 K,$7.27 M,$952.25 K,0.18x,$2.06 M,"Dec 5, 2021"
Flux Protocol,FLX,$0.04835,-0.46%,$22.67 K,$48.34 M,$12.98 M,0.03x,$21.84 M,"Dec 4, 2021"
GuildFi,GF,$0.1352,-13.09%,$2.39 K,$134.6 M,$34.1 M,0.03x,$145.76 M,"Dec 4, 2021"
Spintop,SPIN,$0.0044,-0.38%,$734.53,$558.22 K,,0.44x,$300 K,"Dec 3, 2021"
Creaticles,CRE8,$0.000881,-3.20%,$3.01 K,$881 K,$68.76 K,0.01x,$40.05 M,"Dec 3, 2021"
Bitlocus,BTL,$0.000531,-0.04%,$3.31,$265.5 K,,0.03x,$3 M,"Dec 3, 2021"
DAOLaunch,DAL,$0.01493,3.68%,$268.39,$89.58 K,,0.01x,$1.73 M,"Dec 3, 2021"
Zodium,ZODI,$0.000217,2.71%,$2.98 K,$192.89 K,,0.01x,$3.55 M,"Dec 2, 2021"
The Monopolist,MONO,$0.00000876,0.11%,$10.64,$7.5 M,,0.01x,$1.12 M,"Dec 2, 2021"
Victoria VR,VR,$0.00809,-4.74%,$2.03 M,$135.91 M,$43.17 M,2.75x,$13.57 M,"Dec 2, 2021"
Operon Origins,ORO,$0.000768,-2.37%,$3.47 K,$76.6 K,,0.01x,$2.19 M,"Dec 2, 2021"
Decentral Games,DG,$0.00929,-99.90%,$32.84,$8.6 M,$2.25 M,0.33x,$5 M,"Dec 2, 2021"
Maiar DEX,MEX,$0.00000341,-0.93%,$132.31 K,,,0.01x,,"Dec 1, 2021"
Umami Finance,,$2.37,2.16%,$1.37,$2.38 M,$2.14 M,0.01x,$603 K,"Dec 1, 2021"
Symbiosis Finance,SIS,$0.1447,1.88%,$2.46 M,$100 M,$8.88 M,0.14x,$9.71 M,"Dec 1, 2021"
TabTrader,TTT,$0.00209,0.78%,$47.51,$2.09 M,,0.02x,$10.4 M,"Dec 1, 2021"
Moonscape,MSCP,$0.000143,-2.62%,$424.12,$158.89 K,,1.14x,$73 K,"Dec 1, 2021"
Witnet,WIT,$0.00383,-0.45%,$65.41 K,$4.37 M,,0.16x,$9.09 M,"Dec 1, 2021"
OneRare,ORARE,$0.01257,-5.95%,$18.43,$1.26 M,$635.46 K,0.06x,$2.3 M,"Dec 1, 2021"
Integritee,TEER,$0.2247,-4.89%,$16.21 K,$2.25 M,$893.87 K,0.03x,$2.15 M,"Nov 30, 2021"
ForthBox,FBX,$0.000766,1.67%,$310.25,$765 K,,0.03x,$4.6 M,"Nov 30, 2021"
KILT Protocol,KILT,$0.142,-3.00%,$15.61 K,$21.51 M,$7.02 M,0.02x,,"Nov 30, 2021"
Santos FC Fan Token,SANTOS,$2.562,-1.13%,$6.53 M,$76.8 M,$14.21 M,1.02x,$1 M,"Nov 30, 2021"
Biconomy,BICO,$0.2247,1.83%,$3.04 M,$224.5 M,$177.42 M,0.75x,$24.3 M,"Nov 30, 2021"
Prometheus,MGA,$0.00202,-3.30%,$345.88,$60.6 K,,0.01x,,"Nov 30, 2021"
Pacific,PAF,$0.000178,1.26%,$1.39 K,$178 K,,0.01x,$3.1 M,"Nov 29, 2021"
xHashtag,XTAG,$0.01469,-5.21%,$22.91 K,$1.47 M,$972.02 K,0.06x,$2.85 M,"Nov 29, 2021"
Metagame Arena,MGA,$0.00202,-3.30%,$345.88,$60.6 K,,0.01x,$1.96 M,"Nov 29, 2021"
Calamari Network,KMA,$0.000447,-2.08%,$6.35 K,$4.47 M,$1.28 M,0.04x,,"Nov 28, 2021"
Heroes TD,HTD,$0.00706,0.11%,$400.19,$3.32 M,,0.12x,$2.5 M,"Nov 28, 2021"
NuNet,NTX,$0.03013,-0.40%,$46.19 K,$30.22 M,$15.19 M,1x,$5.48 M,"Nov 28, 2021"
UniX,UNIX,$0.00171,4.47%,$2.17 K,$1.7 M,$481.45 K,0.01x,$30.1 M,"Nov 28, 2021"
MADworld,UMAD,$0.000205,0.38%,$11.3,$2.05 M,,0.01x,$7.54 M,"Nov 27, 2021"
TaleCraft,CRAFT,$0.00225,3.35%,$1.67 K,$67.5 K,,0.01x,$3.33 M,"Nov 26, 2021"
IX Token,IXT,$0.1468,1.52%,$27.99 K,$22.39 M,,0.1x,,"Nov 26, 2021"
Dtravel,TRVL,$0.02335,-2.34%,$224.6 K,$23.35 M,$7.55 M,0.26x,$8.36 M,"Nov 26, 2021"
Starcoin,STC,$0.00159,-8.61%,$7.4 K,$5.06 M,,0.01x,$100.2 K,"Nov 26, 2021"
Vader Protocol,VADER,$0.00000733,10.55%,$1.74 K,$182.25 K,,0.01x,$2.19 M,"Nov 25, 2021"
CHEQD Network,CHEQ,$0.04238,-2.60%,$225.26 K,$48.85 M,$31.53 M,0.06x,$3.3 M,"Nov 25, 2021"
Kujira,KUJI,$0.4282,-3.95%,$208.81 K,$52.6 M,$52.39 M,0.17x,,"Nov 25, 2021"
Holoride,RIDE,$0.00197,-0.51%,$24.49 K,$1.98 M,$1.69 M,0.05x,$17.9 M,"Nov 25, 2021"
Euler,EUL,$4.447,0.90%,$205.56 K,$121.51 M,$83.09 M,0.97x,$40.8 M,"Nov 25, 2021"
Bemil,BEM,$0.000023,-0.80%,$18.67,$23 K,$23 K,0.01x,$1.9 M,"Nov 25, 2021"
Pintu,,$0.1941,0.52%,$30.92 K,$57.72 M,$4.53 M,0.07x,,"Nov 25, 2021"
Zenlink,ZLK,$0.01626,4.18%,$4.75 K,$1.17 M,$885.39 K,0.01x,$1.2 M,"Nov 25, 2021"
Tryhards,TRY,$0.000174,-95.29%,$1.31,$34.8 K,,0.01x,$4.11 M,"Nov 24, 2021"
Real Realm,REAL,$0.000152,-2.92%,$935.38,$17.14 K,,0.01x,$1.64 M,"Nov 24, 2021"
KAKA NFT World,KAKA,$0.000583,-2.22%,$26.47 K,$59.8 K,,0.01x,$2.35 M,"Nov 24, 2021"
Pintu Token,PTU,$0.1941,0.52%,$30.92 K,$57.72 M,$4.53 M,0.77x,$155 M,"Nov 24, 2021"
9D NFT,COGI,$0.000649,-1.61%,$51.04,$433.19 K,$50.92 K,0.01x,$3.35 M,"Nov 23, 2021"
The Killbox Game,KBOX,$0.00005,-44.18%,$39.61 K,$320 K,,0.01x,$6.41 M,"Nov 23, 2021"
EarthFund,1Earth,$0.000301,-13.79%,$2.45 K,$316 K,$21.9 K,0.01x,$1.3 M,"Nov 23, 2021"
DeFi Land,DFL,$0.000568,-6.58%,$2.49 K,$5.68 M,$4.05 M,0.11x,$4.55 M,"Nov 23, 2021"
EVERY GAME,EGAME,$0.00000846,-4.84%,$2.81 K,$72.88 K,,0.01x,$50 K,"Nov 23, 2021"
Wolf Game,WOOL,$0.0021,-7.82%,$2.23 K,$160.88 K,,0.02x,,"Nov 22, 2021"
ReSource,SOURCE,$0.01441,4.81%,$133.74 K,$1.33 M,,0.03x,$5.76 M,"Nov 22, 2021"
SonarWatch,SONAR,$0.00745,10.00%,$3.59 K,$745.98 K,,0.04x,$700 K,"Nov 21, 2021"
Elpis Battle,EBA,$0.00391,0.07%,$1.15 K,$1.88 M,$86.7 K,0.13x,$2.45 M,"Nov 21, 2021"
Uplift,LIFT,$0.00485,-6.93%,$165.79,$42.94 K,,0.01x,$1.2 M,"Nov 21, 2021"
Ardana,DANA,$0.00124,-1.97%,$641.64,$155 K,,0.01x,$12.41 M,"Nov 21, 2021"
SPACEY,SPAY,$0.07097,0.57%,$5.73 K,$1.78 M,,0.02x,$16.19 M,"Nov 21, 2021"
Gold Fever,NGL,$0.04463,-1.01%,$167.56 K,$7.58 M,$1.83 M,0.31x,$4.17 M,"Nov 20, 2021"
Apricot Finance,APR,$0.000403,0.69%,$45.64,$403 K,$66.29 K,0.01x,$16.8 M,"Nov 19, 2021"
ConstitutionDAO,PEOPLE,$0.05783,5.25%,$69.72 M,$291.11 M,$292.63 M,1.17x,$22.04 M,"Nov 18, 2021"
Quidd Token,QUIDD,$0.01155,-0.08%,$1.48,$11.55 M,,0.05x,$5 M,"Nov 18, 2021"
Aurora,AURORA,$0.1386,18.33%,$1.09 M,$147.39 M,$69.28 M,0.14x,$17.77 M,"Nov 18, 2021"
Numbers Protocol,NUM,$0.03749,0.59%,$633.96 K,$23.87 M,$23.92 M,0.94x,$6.53 M,"Nov 18, 2021"
Dexsport,DESU,$0.000767,1.99%,$424.58,$765 K,$79.07 K,0.03x,$2.66 M,"Nov 18, 2021"
CoreStarter,CSTR,$0.000547,11.14%,$2.63 K,$54.8 K,,0.01x,$1.47 M,"Nov 18, 2021"
Titan Hunters,TITA,$0.00277,-7.02%,$223.71,$2.77 M,,0.23x,$2.27 M,"Nov 17, 2021"
Genopets,GENE,$0.1189,8.00%,$123.26 K,$11.84 M,$6.44 M,0.15x,$10.7 M,"Nov 17, 2021"
XDEFI Wallet,XDEFI,$0.0752,1.00%,$337.45 K,$18.04 M,$10.06 M,0.06x,$26.65 M,"Nov 17, 2021"
NFTBomb,NBP,$0.000042,0.58%,$5.04 K,$50 M,,0.01x,$150 K,"Nov 17, 2021"
Centaurify,CENT,$0.000079,-3.97%,$172.67,$79 K,,0.01x,$500 K,"Nov 17, 2021"
Fabwelt,WELT,$0.00383,0.44%,$4.63 K,$1.91 M,$877.04 K,0.27x,$1.03 M,"Nov 16, 2021"
Mytheria,MYRA,$0.00665,-0.49%,$2.37 K,$1.33 M,$125.68 K,0.05x,$2.4 M,"Nov 16, 2021"
Velhalla,SCAR,$0.00137,-0.22%,$45.42 K,$13.63 M,,1.37x,$325 K,"Nov 16, 2021"
FC Porto Fan Token,PORTO,$1.286,-2.06%,$4.12 M,$51.48 M,,1.29x,$4 M,"Nov 15, 2021"
CryptoXpress,XPRESS,$0.07012,1.67%,$128.98 K,$701.1 K,,0.05x,$974.89 K,"Nov 15, 2021"
xx network,xx coin,$0.04154,3.32%,$59.95 K,$39.56 M,,0.12x,$26.73 M,"Nov 15, 2021"
ParaSwap,PSP,$0.01589,3.36%,$105.22 K,$28.53 M,$13.64 M,1.65x,$5.7 M,"Nov 15, 2021"
HowlCity,HWL,$0.000016,0.12%,$16.05,$8.64 K,,0.01x,$2.17 M,"Nov 14, 2021"
Notional Finance,,$0.0605,3.52%,$6.96 K,$6.42 M,,0.01x,$11.3 M,"Nov 14, 2021"
ASPO World,ASPO,$0.00172,0.25%,$719.85,$860 K,$137.49 K,0.03x,$250 K,"Nov 14, 2021"
UXD Protocol,UXP,$0.01027,2.48%,$1.03,$71.82 M,$42.37 M,0.05x,$60.1 M,"Nov 13, 2021"
Elemon,ELMON,$0.000772,-0.83%,$1.19 K,$1.54 M,$497.87 K,0.09x,$2.29 M,"Nov 13, 2021"
PlaceWar,PLACE,$0.000121,4.58%,$3.59 K,$122 K,,0.01x,$2.48 M,"Nov 13, 2021"
Defactor,FACTR,$0.04306,1.02%,$155.95 K,$12.91 M,,0.62x,$14.2 M,"Nov 12, 2021"
Cryowar,CWAR,$0.00371,-7.12%,$61.41 K,$3.69 M,$964.6 K,0.13x,$3.04 M,"Nov 12, 2021"
Boba,BOBA,$0.2038,1.32%,$1.52 M,$102.25 M,$34.98 M,0.2x,$45 M,"Nov 11, 2021"
Good Games Guild,GGG,$0.03992,-2.09%,$134.94 K,$3.99 M,,0.13x,$2.09 M,"Nov 11, 2021"
Meli Games,MELI,$0.000079,8.14%,$1.88 K,$79 K,,0.01x,$4.83 M,"Nov 11, 2021"
PlayPad,PPAD,$0.000974,3.27%,$491.55,$87.39 K,,0.02x,$825 K,"Nov 10, 2021"
dHealth,DHP,$0.000433,-1.67%,$109.11,$866 K,,0.01x,$350 K,"Nov 10, 2021"
StarLaunch,STARS,$0.02199,-1.09%,$345.18,$2.2 M,,0.33x,$2 M,"Nov 10, 2021"
PulsePad,PLSPAD,$0.00103,-3.82%,$3.03 K,$5.14 M,$170.69 K,1.03x,$710 K,"Nov 10, 2021"
X Protocol,POT,$0.00378,-1.18%,$994.9,$17.95 K,,0.01x,$200 K,"Nov 10, 2021"
Aleph Zero,AZERO,$0.4667,-2.37%,$854.79 K,$158.43 M,$124.51 M,0.39x,$20.95 M,"Nov 9, 2021"
Project SEED,SHILL,$0.002,-3.99%,$746.8 K,$2.02 M,$714.15 K,0.08x,$3.4 M,"Nov 9, 2021"
Phoenix Global,PHB,$1.218,-0.31%,$6.45 M,$62.05 M,$62.11 M,1.37x,$39.51 M,"Nov 8, 2021"
The Ethereum Name Service,ENS,$19.5,2.41%,$206.15 M,$1.95 B,$641.94 M,1.08x,$1 M,"Nov 8, 2021"
Galactic Arena,GAN,$0.000092,-5.64%,$0.95,$74.63 K,,0.02x,$1.23 M,"Nov 8, 2021"
Cere Network,CERE,$0.00305,-4.94%,$537.32 K,$30.3 M,$21.17 M,0.13x,$93.93 M,"Nov 7, 2021"
PixelVerse,PIXEL,$0.00059,-2.99%,$3.68 K,$590 K,,0.04x,$1.82 M,"Nov 7, 2021"
Sator,SAO,$0.000623,-1.11%,$575.96 K,$311.5 K,$34.21 K,0.01x,$2.05 M,"Nov 7, 2021"
CropBytes,CBX,$0.00739,10.47%,$19.84 K,$3.85 M,$1.38 M,0.08x,$600 K,"Nov 5, 2021"
Legend of Fantasy War,LFW,$0.00688,3.57%,$23.49 K,$1.38 M,$113.43 K,0.03x,$2.85 M,"Nov 5, 2021"
Mimir,MIMIR,$0.00151,0.88%,$3.26 K,$151 K,,0.01x,$170 K,"Nov 4, 2021"
Merit Circle,MC,$1.434,0.96%,$15.25 K,$949.12 M,$24.29 M,0.45x,$110.14 M,"Nov 4, 2021"
Immutable X,IMX,$1.171,2.87%,$25.11 M,$2.33 B,$1.84 B,7.31x,$298.56 M,"Nov 4, 2021"
Oobit,OBT,$0.04309,5.56%,$44.42 K,$42.41 M,,0.27x,$25 M,"Nov 4, 2021"
BitOrbit,BITORB,$0.000327,4.91%,$53.57,$326 K,,0.05x,$290 K,"Nov 4, 2021"
Bit2Me,B2M,$0.00947,-0.17%,$44.03 K,$47.4 M,,0.07x,$15.83 M,"Nov 4, 2021"
Angle,ANGLE,$0.02417,-7.68%,$62.86 K,$24.22 M,,0.01x,$5.56 M,"Nov 3, 2021"
Mines Of Dalarnia,DAR,$0.1344,1.40%,$4.02 M,$107.52 M,$82.15 M,1.79x,$3.66 M,"Nov 3, 2021"
DOSE Token,DOSE,$0.000255,-4.46%,$2.67 M,$1.27 M,$217.69 K,0.01x,$3.22 M,"Nov 3, 2021"
FantomStarter,FS,$0.000328,-1.68%,$48.58,$322.95 K,$33.95 K,0.09x,$646 K,"Nov 2, 2021"
GooseFX,GOFX,$0.0065,0.03%,$214.25,$4.55 M,,0.05x,$4.85 M,"Nov 2, 2021"
Zam.io,ZAM,$0.00045,-4.48%,$183.82 K,$30.5 K,,0.01x,$3.51 M,"Nov 2, 2021"
ENVOY Network,ENV,$0.000661,22.00%,$15.23 K,$15 M,,0.01x,$2.65 M,"Nov 2, 2021"
Gaia Everworld,GAIA,$0.00325,-2.71%,$30.07 K,$1.63 M,,0.02x,$4.59 M,"Nov 2, 2021"
Dreams Quest,DREAMS,$0.000323,-4.11%,$135.05 K,$539.1 K,$505.2 K,0.03x,$3.12 M,"Nov 2, 2021"
Gains Network,GNS,$2.578,1.59%,$985.93 K,$86.35 M,$86.25 M,2.61x,$250 K,"Nov 1, 2021"
ENNO Cash,ENNO,$0.02192,0.32%,$3.41 K,$218.07 K,,0.02x,$1.34 M,"Oct 31, 2021"
Meta Doge,MTDU,$0,-4.04%,$57.78,$45.2 K,$45.5 K,0.01x,$898.2 K,"Oct 31, 2021"
Vodra,VDR,$0.000572,-1.55%,$1.13 K,$1.14 M,$81.88 K,0.05x,$1.29 M,"Oct 31, 2021"
Space SIP,SIP,$0.00012,6.41%,$21.82,$119 K,,0.01x,$2.02 M,"Oct 31, 2021"
Swash,SWASH,$0.00711,23.40%,$184.59 K,$7.09 M,$7 M,0.08x,$11.71 M,"Oct 30, 2021"
GameStation,GAMER,$0.0016,0.52%,$235.11,$159 K,,0.02x,$2.2 M,"Oct 28, 2021"
Pontoon,TOON,$0.00077,-0.26%,$138.98 K,$35 M,,0.01x,$3.93 M,"Oct 28, 2021"
Scallop,SCLP,$0.1482,-5.29%,$286.67 K,$14.82 M,$9.57 M,0.99x,$2.46 M,"Oct 28, 2021"
Duelist King,DKT,$0.00559,-12.45%,$47.96,$5.1 K,,0.01x,$868 K,"Oct 28, 2021"
